Number,Topic
0,SW1
1,SW2
2,Theory?
3,Labour-Estimation
4,Macro-Taxation
5,Micro-Theory
6,Macro-VAR
7,GameTheory-Information
8,Land
9,GameTheory-Auctions
10,Micro-Utility
11,WelfareTheorems
12,Voting
13,Public-Empirical
14,Industrial?
15,Trade?
16,GameTheory-Empirical?
17,Monetary
18,HealthFamily-Empirical
19,Oil
20,Risk
21,Demography?-Empirical
22,Insurance-Empirical
23,Incentives?
24,Finance-Assets
25,Finance-Trading
26,Monetary-Assets
27,GameTheory-Folk
28,CapitalGoods
29,?-Empirical
30,Development-Empirical
31,LaTeX
32,Monetary-Deposits
