word,freq
skill,53561
citi,51791
land,45914
occup,34401
farm,30448
counti,24441
discrimin,24272
aid,22913
immigr,22890
migrat,22775
fertil,21975
poverti,21383
car,20575
minor,19150
crime,18033
rural,15930
farmer,14904
china,14174
geograph,13965
villag,13614
crop,12577
cultur,12394
site,10454
nativ,10142
migrant,9568
africa,9154
travel,9072
teach,9054
civil,8754
wheat,8625
cotton,8213
residenti,7840
rout,7050
driver,7017
coloni,6845
physician,6710
crimin,6674
doctor,6620
polic,6519
metropolitan,6405
destin,6357
gasolin,6304
underdevelop,6236
accid,6206
provinc,5894
corn,5805
town,5745
grain,5729
chines,5722
nonwhit,5365
acr,5276
harvest,5167
religi,5109
slave,4580
tenant,4477
administ,4468
asia,4372
landlord,4247
arrest,4221
trip,4069
passeng,4065
sentenc,3787
cultiv,3636
overtim,3475
affirm,3419
convict,3305
elit,3264
forest,3228
fatal,3196
negro,3161
violent,3037
peasant,2823
restaur,2799
victim,2781
church,2775
medicin,2727
irrig,2627
pakistan,2555
undergradu,2551
calori,2532
soil,2518
offens,2474
livestock,2471
indonesia,2463
bernard,2458
nonprofit,2413
seed,2295
acreag,2276
kenya,2148
offend,1992
hostil,1917
famin,1911
introductori,1837
potato,1824
instructor,1814
murder,1771
jewish,1744
landown,1708
theft,1685
servant,1683
taught,1679
oat,1673
provinci,1664
pation,1664
refuge,1639
dump,1635
occupa,1591
nigeria,1564
tropic,1525
ghana,1478
cleric,1468
levitt,1457
meal,1443
assimil,1439
malaria,1437
fox,1431
bottleneck,1431
diagnosi,1423
melitz,1404
subsaharan,1401
rodrik,1386
canal,1378
intak,1350
cattl,1324
absente,1317
borja,1314
slaveri,1304
tenanc,1301
mileag,1300
muslim,1282
hamermesh,1282
ential,1277
islam,1254
cab,1215
resi,1215
gallon,1194
hay,1185
specialti,1183
ployer,1176
taxi,1174
agrarian,1153
metro,1136
discrimina,1135
skillbias,1131
countylevel,1125
yuan,1092
hectar,1079
homicid,1070
suburb,1059
richest,1051
safeguard,1048
grower,1027
tanzania,1017
forestri,1006
stapl,1006
uganda,1003
foreignborn,1003
diet,1001
immi,998
sharecrop,996
curriculum,994
indigen,986
plantat,984
tort,952
diagnos,948
occu,946
bolivia,938
outmigr,915
bushel,913
antidump,897
maiz,884
assault,884
nutrient,880
forprofit,875
nazi,866
ehrenberg,858
giffen,856
refineri,854
motorist,851
jamaica,850
cohes,839
robberi,833
cian,817
orlean,810
soybean,796
migra,790
fogel,786
imprison,777
guinea,773
discrimi,771
ravallion,766
colon,765
physi,757
landless,755
gss,749
settler,744
gps,740
miracl,737
pps,737
itn,733
caribbean,730
workweek,726
bomb,726
landhold,713
firstyear,712
chiswick,709
calor,705
vil,705
malawi,701
visa,700
ehrlich,688
ethiopia,686
progresa,678
minimumwag,670
usda,660
hamburg,658
farmland,658
bengal,658
borenstein,651
nonmigr,649
patronag,635
tybout,632
ceylon,631
zambia,626
clientel,624
hunger,615
pod,612
offfarm,612
journey,612
tiliti,609
tank,609
craftsmen,601
urbanrur,599
sow,598
bardhan,596
nondiscriminatori,587
engerman,586
burglari,583
francoi,580
semiskil,577
skillintens,574
nondiscrimin,574
congo,569
nepal,562
ruralurban,560
weed,560
collier,560
itc,548
dani,545
mauritius,545
barley,540
rant,537
cupat,536
hist,535
zimbabw,529
hygien,527
udri,525
cheung,523
nativeborn,519
bach,518
fallow,515
handicraft,513
verdier,510
rostow,510
witt,507
capitalskil,504
glen,503
nonpoor,498
todaro,495
indemn,493
inmigr,492
beij,492
nonsouth,489
terrain,489
illegitim,486
hog,485
cropland,483
humanitarian,482
adl,481
bac,479
overrepres,478
cameroon,478
underrepres,477
chandra,476
burma,475
mpg,474
reich,471
iceberg,469
shanghai,469
dualism,468
deforest,464
protein,463
afghanistan,462
saunder,460
rape,457
sociodemograph,455
seneg,450
eic,445
antebellum,441
countrysid,439
villagelevel,433
selfmanag,433
longitud,432
discrim,430
pastur,428
govt,427
posttest,423
kessler,422
cote,420
sudan,416
straighttim,415
dustmann,415
evict,413
toyota,412
conrad,411
sown,410
workmen,409
mozambiqu,407
fixedr,405
kilogram,404
mali,404
headcount,400
dui,398
ottaviano,397
metropoli,397
pov,396
finger,395
divoir,389
smallhold,389
industrialist,386
crane,385
malpractic,384
automak,382
plow,381
dentist,381
botswana,379
chrysler,377
donohu,377
rugged,374
lao,373
woolen,371
liverpool,371
fatigu,369
fbi,368
rhodesia,367
asylum,365
rwanda,363
workload,362
fecund,361
citylevel,361
khandelw,358
pavcnik,354
tuce,353
cafe,351
malaya,351
tradein,347
stolen,345
verhoogen,345
cape,343
sober,343
punit,341
icrisat,341
enclav,341
undocu,340
larceni,340
planter,339
niger,338
fafchamp,338
sprawl,337
hindu,337
arkolaki,336
gavin,336
sokoloff,335
oda,334
kugler,333
politan,332
perkin,331
landlock,330
pesticid,328
ibrd,327
nonminor,325
arcidiacono,324
vitamin,324
landus,323
thirddegre,323
nese,321
redevelop,321
honda,320
ghost,318
feloni,318
michalopoulo,318
