@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:eIssn,prism:issueIdentifier,pubmed-id
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85146268564'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85146268564?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85146268564&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85146268564&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1703494923000014'}]",https://api.elsevier.com/content/abstract/scopus_id/85146268564,SCOPUS_ID:85146268564,2-s2.0-85146268564,Social unrest and corporate behaviour during the Arab Spring period,Ghosh S.,Journal of Economic Asymmetries,17034949,27,,2023-06-01,June 2023,10.1016/j.jeca.2023.e00289,S1703494923000014,0,"[{'@_fa': 'true', 'affilname': 'Qatar Central Bank', 'affiliation-city': 'Doha', 'affiliation-country': 'Qatar'}]",Journal,ar,Article,e00289,21100258760,0,False,,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85145402530'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85145402530?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85145402530&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85145402530&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1703494922000469'}]",https://api.elsevier.com/content/abstract/scopus_id/85145402530,SCOPUS_ID:85145402530,2-s2.0-85145402530,"Hysteresis, financial frictions and monetary policy",Giakas K.,Journal of Economic Asymmetries,17034949,27,,2023-06-01,June 2023,10.1016/j.jeca.2022.e00286,S1703494922000469,0,"[{'@_fa': 'true', 'affilname': 'Athens University of Economics and Business', 'affiliation-city': 'Athens', 'affiliation-country': 'Greece'}]",Journal,ar,Article,e00286,21100258760,0,False,,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85145371072'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85145371072?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85145371072&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85145371072&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1703494922000391'}]",https://api.elsevier.com/content/abstract/scopus_id/85145371072,SCOPUS_ID:85145371072,2-s2.0-85145371072,European market timing,El Ammari A.,Journal of Economic Asymmetries,17034949,27,,2023-06-01,June 2023,10.1016/j.jeca.2022.e00279,S1703494922000391,0,"[{'@_fa': 'true', 'affilname': 'Université de Monastir', 'affiliation-city': 'Monastir', 'affiliation-country': 'Tunisia'}]",Journal,ar,Article,e00279,21100258760,0,False,,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85145103560'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85145103560?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85145103560&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85145103560&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1703494922000470'}]",https://api.elsevier.com/content/abstract/scopus_id/85145103560,SCOPUS_ID:85145103560,2-s2.0-85145103560,Dynamic asymmetric connectedness in technological sectors,Alshater M.M.,Journal of Economic Asymmetries,17034949,27,,2023-06-01,June 2023,10.1016/j.jeca.2022.e00287,S1703494922000470,0,"[{'@_fa': 'true', 'affilname': 'Philadelphia University Jordan', 'affiliation-city': 'Amman', 'affiliation-country': 'Jordan'}]",Journal,ar,Article,e00287,21100258760,0,False,,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85143916302'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85143916302?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85143916302&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85143916302&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1703494922000457'}]",https://api.elsevier.com/content/abstract/scopus_id/85143916302,SCOPUS_ID:85143916302,2-s2.0-85143916302,"Monetary policy transmission, productive activity, and inflation in Brazil: Does uncertainty matter?",Corrêa W.L.R.,Journal of Economic Asymmetries,17034949,27,,2023-06-01,June 2023,10.1016/j.jeca.2022.e00285,S1703494922000457,0,"[{'@_fa': 'true', 'affilname': 'Universidade Federal de Juiz de Fora', 'affiliation-city': 'Juiz de Fora', 'affiliation-country': 'Brazil'}]",Journal,ar,Article,e00285,21100258760,0,False,,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85142758050'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85142758050?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85142758050&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85142758050&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1703494922000408'}]",https://api.elsevier.com/content/abstract/scopus_id/85142758050,SCOPUS_ID:85142758050,2-s2.0-85142758050,Asymmetric spillover effects of Covid-19 on the performance of the Islamic finance industry: A wave analysis and forecasting,Ghouse G.,Journal of Economic Asymmetries,17034949,27,,2023-06-01,June 2023,10.1016/j.jeca.2022.e00280,S1703494922000408,0,"[{'@_fa': 'true', 'affilname': 'University of Lahore', 'affiliation-city': 'Lahore', 'affiliation-country': 'Pakistan'}]",Journal,ar,Article,e00280,21100258760,0,False,,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85142719307'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85142719307?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85142719307&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85142719307&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S1703494922000445'}]",https://api.elsevier.com/content/abstract/scopus_id/85142719307,SCOPUS_ID:85142719307,2-s2.0-85142719307,Incorporating financial development indicators into early warning systems,Ponomarenko A.,Journal of Economic Asymmetries,17034949,27,,2023-06-01,June 2023,10.1016/j.jeca.2022.e00284,S1703494922000445,0,"[{'@_fa': 'true', 'affilname': 'Bank of Russia', 'affiliation-city': 'Omsk', 'affiliation-country': 'Russian Federation'}]",Journal,ar,Article,e00284,21100258760,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85142675038'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85142675038?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85142675038&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85142675038&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S170349492200038X'}]",https://api.elsevier.com/content/abstract/scopus_id/85142675038,SCOPUS_ID:85142675038,2-s2.0-85142675038,CEO duality and firm performance during the 2020 coronavirus outbreak,Hassan M.K.,Journal of Economic Asymmetries,17034949,27,,2023-06-01,June 2023,10.1016/j.jeca.2022.e00278,S170349492200038X,0,"[{'@_fa': 'true', 'affilname': 'University of New Orleans', 'affiliation-city': 'New Orleans', 'affiliation-country': 'United States'}]",Journal,ar,Article,e00278,21100258760,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryvor'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}",,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85146093045'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85146093045?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85146093045&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85146093045&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0022053122001855'}]",https://api.elsevier.com/content/abstract/scopus_id/85146093045,SCOPUS_ID:85146093045,2-s2.0-85146093045,Legislative informational lobbying,Dellis A.,Journal of Economic Theory,00220531,208,,2023-03-01,March 2023,10.1016/j.jet.2022.105595,S0022053122001855,0,"[{'@_fa': 'true', 'affilname': 'Université du Québec à Montréal', 'affiliation-city': 'Montreal', 'affiliation-country': 'Canada'}]",Journal,ar,Article,105595,28981,0,False,,,10957235,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85145864842'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85145864842?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85145864842&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85145864842&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0022053122001879'}]",https://api.elsevier.com/content/abstract/scopus_id/85145864842,SCOPUS_ID:85145864842,2-s2.0-85145864842,Optimal contingent delegation,Gan T.,Journal of Economic Theory,00220531,208,,2023-03-01,March 2023,10.1016/j.jet.2022.105597,S0022053122001879,0,"[{'@_fa': 'true', 'affilname': 'Yale University', 'affiliation-city': 'New Haven', 'affiliation-country': 'United States'}]",Journal,ar,Article,105597,28981,0,False,,,10957235,,
